"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 19:57:36 GMT 2025","Thu Apr 03 19:57:36 GMT 2025","200","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_name","User cannot create project with empty name"
"passed","Thu Apr 03 19:56:16 GMT 2025","Thu Apr 03 19:57:23 GMT 2025","66624","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"passed","Thu Apr 03 19:57:28 GMT 2025","Thu Apr 03 19:57:30 GMT 2025","2488","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_build_type","User should be able to create build type"
"passed","Thu Apr 03 19:57:33 GMT 2025","Thu Apr 03 19:57:34 GMT 2025","466","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_parent_project","User should be able to create project with parent project"
"passed","Thu Apr 03 19:57:35 GMT 2025","Thu Apr 03 19:57:36 GMT 2025","359","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_name","User cannot create two projects with the same name"
"passed","Thu Apr 03 19:57:32 GMT 2025","Thu Apr 03 19:57:32 GMT 2025","1","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type_for_another_user_project","Project admin should not be able to create build type for not their project"
"passed","Thu Apr 03 19:57:31 GMT 2025","Thu Apr 03 19:57:31 GMT 2025","408","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_two_build_types_with_same_id","User should not be able to create two build types with the same ID"
"passed","Thu Apr 03 19:57:32 GMT 2025","Thu Apr 03 19:57:32 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type","Project admin should be able to create build type for their project"
"passed","Thu Apr 03 19:57:40 GMT 2025","Thu Apr 03 19:57:40 GMT 2025","586","tests.api_tests","test_project_type","TestProject","","","test_user_copy_project","User should be able to copy project"
"passed","Thu Apr 03 19:57:33 GMT 2025","Thu Apr 03 19:57:33 GMT 2025","268","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project","User should be able to create project"
"passed","Thu Apr 03 19:57:38 GMT 2025","Thu Apr 03 19:57:38 GMT 2025","288","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_without_permission","User cannot create project without permission"
"passed","Thu Apr 03 19:57:39 GMT 2025","Thu Apr 03 19:57:39 GMT 2025","398","tests.api_tests","test_project_type","TestProject","","","test_admin_user_creates_project_in_another_user_project_area","Admin user cannot create project in another user's project area"
"passed","Thu Apr 03 19:57:35 GMT 2025","Thu Apr 03 19:57:35 GMT 2025","250","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_id","User cannot create two projects with the same ID"
"passed","Thu Apr 03 19:57:37 GMT 2025","Thu Apr 03 19:57:37 GMT 2025","244","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_id","User cannot create project with empty ID"
